AOKF1045_g2_c 	 0.415524 	 cell organization and biogenesis
Contig_8591 	 0.801018 	 cell organization and biogenesis
Contig_8594 	 0.32483 	 protein metabolism  
Contig_8597 	 0.376602 	 RNA metabolism  
Contig_8597 	 0.376602 	 cell organization and biogenesis
Contig_8597 	 0.376602 	 protein metabolism  
Contig_8598 	 0.607881 	 cell organization and biogenesis
Contig_8598 	 0.607881 	 signal transduction  
Contig_8598 	 0.607881 	 transport   
Contig_8599 	 0.636545 	 developmental processes  
Contig_8599 	 0.636545 	 other metabolic processes 
Contig_8599 	 0.636545 	 signal transduction  
Contig_8600 	 0.860398 	 cell cycle and proliferation
Contig_8600 	 0.860398 	 other biological processes 
Contig_8600 	 0.860398 	 other metabolic processes 
Contig_8600 	 0.860398 	 protein metabolism  
Contig_8601 	 0.863211 	 cell cycle and proliferation
Contig_8601 	 0.863211 	 other biological processes 
Contig_8601 	 0.863211 	 other metabolic processes 
Contig_8602 	 0.739418 	 cell organization and biogenesis
Contig_8602 	 0.739418 	 developmental processes  
Contig_8602 	 0.739418 	 other biological processes 
Contig_8604 	 0.99587 	 cell organization and biogenesis
Contig_8604 	 0.99587 	 cell-cell signaling  
Contig_8604 	 0.99587 	 stress response  
Contig_8604 	 0.99587 	 transport   
Contig_8605 	 0.408607 	 RNA metabolism  
Contig_8605 	 0.408607 	 cell adhesion  
Contig_8605 	 0.408607 	 cell cycle and proliferation
Contig_8605 	 0.408607 	 cell organization and biogenesis
Contig_8605 	 0.408607 	 death   
Contig_8605 	 0.408607 	 developmental processes  
Contig_8605 	 0.408607 	 other biological processes 
Contig_8605 	 0.408607 	 other metabolic processes 
Contig_8605 	 0.408607 	 protein metabolism  
Contig_8605 	 0.408607 	 signal transduction  
Contig_8606 	 0.592119 	 protein metabolism  
Contig_8608 	 1.28529 	 RNA metabolism  
Contig_8608 	 1.28529 	 other metabolic processes 
Contig_8608 	 1.28529 	 protein metabolism  
Contig_8608 	 1.28529 	 signal transduction  
Contig_8612 	 1.02428 	 cell organization and biogenesis
Contig_8614 	 0.44712 	 RNA metabolism  
Contig_8614 	 0.44712 	 other biological processes 
Contig_8614 	 0.44712 	 other metabolic processes 
Contig_8614 	 0.44712 	 protein metabolism  
Contig_8614 	 0.44712 	 signal transduction  
Contig_8614 	 0.44712 	 stress response  
Contig_8618 	 0.966631 	 other metabolic processes 
Contig_8618 	 0.966631 	 stress response  
Contig_8618 	 0.966631 	 transport   
Contig_8619 	 0.2151 	 cell cycle and proliferation
Contig_8619 	 0.2151 	 cell organization and biogenesis
Contig_8619 	 0.2151 	 other biological processes 
Contig_8620 	 1.01408 	 cell organization and biogenesis
Contig_8620 	 1.01408 	 developmental processes  
Contig_8620 	 1.01408 	 other biological processes 
Contig_8620 	 1.01408 	 protein metabolism  
Contig_8620 	 1.01408 	 signal transduction  
Contig_8620 	 1.01408 	 transport   
Contig_8621 	 0.871001 	 other biological processes 
Contig_8621 	 0.871001 	 transport   
Contig_8626 	 0.610437 	 transport   
Contig_8630 	 0.687485 	 developmental processes  
Contig_8630 	 0.687485 	 signal transduction  
Contig_8637 	 0.606614 	 other metabolic processes 
Contig_8639 	 0.485899 	 developmental processes  
Contig_8639 	 0.485899 	 other biological processes 
Contig_8639 	 0.485899 	 transport   
Contig_8640 	 0.408521 	 death   
Contig_8640 	 0.408521 	 other metabolic processes 
Contig_8641 	 0.465183 	 RNA metabolism  
Contig_8641 	 0.465183 	 cell organization and biogenesis
Contig_8641 	 0.465183 	 developmental processes  
Contig_8641 	 0.465183 	 other biological processes 
Contig_8641 	 0.465183 	 protein metabolism  
Contig_8647 	 0.881582 	 cell organization and biogenesis
Contig_8647 	 0.881582 	 other biological processes 
Contig_8648 	 1.05779 	 DNA metabolism  
Contig_8648 	 1.05779 	 cell organization and biogenesis
Contig_8648 	 1.05779 	 death   
Contig_8648 	 1.05779 	 other biological processes 
Contig_8649 	 0.508392 	 transport   
Contig_8651 	 0.787892 	 RNA metabolism  
Contig_8651 	 0.787892 	 protein metabolism  
Contig_8654 	 0.470352 	 RNA metabolism  
Contig_8654 	 0.470352 	 developmental processes  
Contig_8656 	 0.68635 	 DNA metabolism  
Contig_8656 	 0.68635 	 cell cycle and proliferation
Contig_8656 	 0.68635 	 cell organization and biogenesis
Contig_8656 	 0.68635 	 cell-cell signaling  
Contig_8656 	 0.68635 	 death   
Contig_8656 	 0.68635 	 developmental processes  
Contig_8656 	 0.68635 	 other biological processes 
Contig_8656 	 0.68635 	 other metabolic processes 
Contig_8656 	 0.68635 	 signal transduction  
Contig_8656 	 0.68635 	 transport   
Contig_8657 	 0.49936 	 protein metabolism  
Contig_8657 	 0.49936 	 transport   
Contig_8658 	 0.951136 	 cell organization and biogenesis
Contig_8658 	 0.951136 	 other metabolic processes 
Contig_8658 	 0.951136 	 stress response  
Contig_8658 	 0.951136 	 transport   
Contig_8663 	 1.09215 	 RNA metabolism  
Contig_8663 	 1.09215 	 developmental processes  
Contig_8664 	 0.470253 	 RNA metabolism  
Contig_8664 	 0.470253 	 other biological processes 
Contig_8666 	 0.319554 	 other biological processes 
Contig_8671 	 0.685513 	 other metabolic processes 
Contig_8672 	 0.983618 	 death   
Contig_8672 	 0.983618 	 developmental processes  
Contig_8672 	 0.983618 	 other biological processes 
Contig_8673 	 0.153509 	 RNA metabolism  
Contig_8673 	 0.153509 	 other biological processes 
Contig_8675 	 0.614873 	 other biological processes 
Contig_8677 	 0.0998024 	 cell cycle and proliferation
Contig_8677 	 0.0998024 	 other biological processes 
Contig_8677 	 0.0998024 	 stress response  
Contig_8680 	 0.519054 	 stress response  
Contig_8687 	 0.368753 	 other metabolic processes 
Contig_8687 	 0.368753 	 transport   
Contig_8691 	 0.469942 	 transport   
Contig_8694 	 0.976451 	 cell organization and biogenesis
Contig_8694 	 0.976451 	 developmental processes  
Contig_8694 	 0.976451 	 other biological processes 
Contig_8694 	 0.976451 	 signal transduction  
Contig_8696 	 0.402456 	 cell-cell signaling  
Contig_8696 	 0.402456 	 transport   
Contig_8698 	 0.781544 	 RNA metabolism  
Contig_8698 	 0.781544 	 other metabolic processes 
Contig_8698 	 0.781544 	 transport   
Contig_87 	 0.933147 	 RNA metabolism  
Contig_87 	 0.933147 	 cell cycle and proliferation
Contig_87 	 0.933147 	 cell organization and biogenesis
Contig_87 	 0.933147 	 death   
Contig_87 	 0.933147 	 other biological processes 
Contig_87 	 0.933147 	 other metabolic processes 
Contig_87 	 0.933147 	 protein metabolism  
Contig_87 	 0.933147 	 signal transduction  
Contig_87 	 0.933147 	 stress response  
Contig_8700 	 0.386447 	 other biological processes 
Contig_8700 	 0.386447 	 protein metabolism  
Contig_8701 	 0.52893 	 cell cycle and proliferation
Contig_8701 	 0.52893 	 cell organization and biogenesis
Contig_8701 	 0.52893 	 other biological processes 
Contig_8703 	 0.484288 	 other biological processes 
Contig_8706 	 1.18137 	 other biological processes 
Contig_8706 	 1.18137 	 stress response  
Contig_8708 	 0.430524 	 RNA metabolism  
Contig_8708 	 0.430524 	 cell cycle and proliferation
Contig_8708 	 0.430524 	 cell organization and biogenesis
Contig_8708 	 0.430524 	 death   
Contig_8708 	 0.430524 	 developmental processes  
Contig_8708 	 0.430524 	 other biological processes 
Contig_8708 	 0.430524 	 other metabolic processes 
Contig_8708 	 0.430524 	 stress response  
Contig_8711 	 0.940278 	 other metabolic processes 
Contig_8711 	 0.940278 	 transport   
Contig_8712 	 0.448289 	 RNA metabolism  
Contig_8713 	 0.27948 	 transport   
Contig_8716 	 0.82729 	 cell organization and biogenesis
Contig_8716 	 0.82729 	 developmental processes  
Contig_8716 	 0.82729 	 protein metabolism  
Contig_8717 	 0.84834 	 RNA metabolism  
Contig_8717 	 0.84834 	 cell adhesion  
Contig_8717 	 0.84834 	 cell cycle and proliferation
Contig_8717 	 0.84834 	 cell organization and biogenesis
Contig_8717 	 0.84834 	 cell-cell signaling  
Contig_8717 	 0.84834 	 death   
Contig_8717 	 0.84834 	 developmental processes  
Contig_8717 	 0.84834 	 other biological processes 
Contig_8717 	 0.84834 	 other metabolic processes 
Contig_8717 	 0.84834 	 protein metabolism  
Contig_8717 	 0.84834 	 signal transduction  
Contig_8717 	 0.84834 	 stress response  
Contig_8717 	 0.84834 	 transport   
Contig_8719 	 0.88475 	 transport   
Contig_872 	 0.194981 	 cell cycle and proliferation
Contig_872 	 0.194981 	 cell organization and biogenesis
Contig_872 	 0.194981 	 other biological processes 
Contig_872 	 0.194981 	 transport   
Contig_8720 	 0.773202 	 other metabolic processes 
Contig_8722 	 0.949855 	 RNA metabolism  
Contig_8724 	 0.685297 	 RNA metabolism  
Contig_8724 	 0.685297 	 cell organization and biogenesis
Contig_8724 	 0.685297 	 other metabolic processes 
Contig_8724 	 0.685297 	 transport   
Contig_8726 	 0.996733 	 transport   
Contig_8729 	 0.649561 	 other metabolic processes 
Contig_8732 	 0.794057 	 developmental processes  
Contig_8732 	 0.794057 	 other biological processes 
Contig_8732 	 0.794057 	 stress response  
Contig_8732 	 0.794057 	 transport   
Contig_8733 	 0.172223 	 other biological processes 
Contig_8734 	 0.574659 	 DNA metabolism  
Contig_8734 	 0.574659 	 RNA metabolism  
Contig_8734 	 0.574659 	 stress response  
Contig_8736 	 0.389385 	 other metabolic processes 
Contig_8736 	 0.389385 	 transport   
Contig_8739 	 0.623141 	 other metabolic processes 
Contig_8740 	 0.38928 	 protein metabolism  
Contig_8741 	 0.344127 	 protein metabolism  
Contig_8745 	 0.689396 	 other metabolic processes 
Contig_8746 	 0.699088 	 other biological processes 
Contig_8746 	 0.699088 	 other metabolic processes 
Contig_8748 	 0.244718 	 RNA metabolism  
Contig_875 	 0.55938 	 RNA metabolism  
Contig_8750 	 0.308224 	 death   
Contig_8750 	 0.308224 	 other biological processes 
Contig_8753 	 0.302915 	 RNA metabolism  
Contig_8753 	 0.302915 	 other biological processes 
Contig_8754 	 0.801558 	 other biological processes 
Contig_8754 	 0.801558 	 protein metabolism  
Contig_8755 	 1.02592 	 cell adhesion  
Contig_8755 	 1.02592 	 cell cycle and proliferation
Contig_8755 	 1.02592 	 cell organization and biogenesis
Contig_8755 	 1.02592 	 developmental processes  
Contig_8755 	 1.02592 	 other biological processes 
Contig_8757 	 0.585724 	 other metabolic processes 
Contig_8759 	 0.244176 	 RNA metabolism  
Contig_876 	 0.401892 	 cell organization and biogenesis
Contig_876 	 0.401892 	 other biological processes 
Contig_8762 	 0.669271 	 cell organization and biogenesis
Contig_8762 	 0.669271 	 protein metabolism  
Contig_8764 	 0.597315 	 RNA metabolism  
Contig_8765 	 0.926724 	 DNA metabolism  
Contig_8765 	 0.926724 	 protein metabolism  
Contig_8766 	 0.419887 	 RNA metabolism  
Contig_8766 	 0.419887 	 other biological processes 
Contig_8766 	 0.419887 	 other metabolic processes 
Contig_8766 	 0.419887 	 protein metabolism  
Contig_8766 	 0.419887 	 signal transduction  
Contig_8767 	 0.694528 	 protein metabolism  
Contig_8768 	 0.595251 	 cell cycle and proliferation
Contig_8768 	 0.595251 	 cell organization and biogenesis
Contig_8768 	 0.595251 	 protein metabolism  
Contig_877 	 0.94241 	 protein metabolism  
Contig_8770 	 0.862787 	 transport   
Contig_8771 	 0.42714 	 RNA metabolism  
Contig_8771 	 0.42714 	 other metabolic processes 
Contig_8776 	 0.260481 	 other metabolic processes 
Contig_8781 	 0.533631 	 cell cycle and proliferation
Contig_8781 	 0.533631 	 cell organization and biogenesis
Contig_8781 	 0.533631 	 other biological processes 
Contig_8782 	 0.665149 	 RNA metabolism  
Contig_8782 	 0.665149 	 cell adhesion  
Contig_8782 	 0.665149 	 cell organization and biogenesis
Contig_8782 	 0.665149 	 developmental processes  
Contig_8782 	 0.665149 	 other biological processes 
Contig_8782 	 0.665149 	 other metabolic processes 
Contig_8782 	 0.665149 	 protein metabolism  
Contig_8782 	 0.665149 	 signal transduction  
Contig_8782 	 0.665149 	 stress response  
Contig_8786 	 0.735616 	 other metabolic processes 
Contig_8791 	 0.473287 	 other biological processes 
Contig_8792 	 0.260747 	 cell organization and biogenesis
Contig_8792 	 0.260747 	 transport   
Contig_8795 	 0.504675 	 RNA metabolism  
Contig_8795 	 0.504675 	 other biological processes 
Contig_8796 	 0.322962 	 signal transduction  
Contig_8796 	 0.322962 	 transport   
Contig_8799 	 0.51678 	 RNA metabolism  
Contig_8799 	 0.51678 	 cell organization and biogenesis
Contig_8799 	 0.51678 	 other biological processes 
Contig_8799 	 0.51678 	 other metabolic processes 
Contig_8799 	 0.51678 	 stress response  
Contig_880 	 0.678542 	 protein metabolism  
Contig_8801 	 0.911744 	 RNA metabolism  
Contig_8803 	 0.617727 	 transport   
Contig_8804 	 0.67999 	 other metabolic processes 
Contig_8805 	 0.743397 	 other metabolic processes 
Contig_8805 	 0.743397 	 transport   
Contig_8806 	 0.352066 	 other biological processes 
Contig_881 	 0.488171 	 RNA metabolism  
Contig_881 	 0.488171 	 other metabolic processes 
Contig_881 	 0.488171 	 protein metabolism  
Contig_8810 	 0.634529 	 other biological processes 
Contig_8810 	 0.634529 	 other metabolic processes 
Contig_8810 	 0.634529 	 transport   
Contig_8813 	 0.665198 	 cell organization and biogenesis
Contig_8813 	 0.665198 	 developmental processes  
Contig_8813 	 0.665198 	 other biological processes 
Contig_8815 	 0.318878 	 other biological processes 
Contig_8817 	 0.861219 	 protein metabolism  
Contig_8818 	 1.0219 	 signal transduction  
Contig_8820 	 0.313536 	 cell organization and biogenesis
Contig_8820 	 0.313536 	 death   
Contig_8820 	 0.313536 	 developmental processes  
Contig_8820 	 0.313536 	 other biological processes 
Contig_8820 	 0.313536 	 protein metabolism  
Contig_8821 	 0.502647 	 other biological processes 
Contig_8821 	 0.502647 	 protein metabolism  
Contig_8822 	 0.273713 	 RNA metabolism  
Contig_8822 	 0.273713 	 cell organization and biogenesis
Contig_8822 	 0.273713 	 protein metabolism  
Contig_8822 	 0.273713 	 transport   
Contig_8823 	 0.144709 	 developmental processes  
Contig_8823 	 0.144709 	 other biological processes 
Contig_8823 	 0.144709 	 other metabolic processes 
Contig_8832 	 0.700174 	 RNA metabolism  
Contig_8832 	 0.700174 	 cell cycle and proliferation
Contig_8832 	 0.700174 	 death   
Contig_8832 	 0.700174 	 developmental processes  
Contig_8832 	 0.700174 	 other biological processes 
Contig_8832 	 0.700174 	 other metabolic processes 
Contig_8832 	 0.700174 	 protein metabolism  
Contig_8832 	 0.700174 	 signal transduction  
Contig_8832 	 0.700174 	 stress response  
Contig_8837 	 0.535254 	 cell organization and biogenesis
Contig_8837 	 0.535254 	 other metabolic processes 
Contig_8837 	 0.535254 	 transport   
Contig_8838 	 0.970811 	 RNA metabolism  
Contig_8838 	 0.970811 	 stress response  
Contig_884 	 1.05626 	 DNA metabolism  
Contig_8840 	 0.348994 	 other biological processes 
Contig_8840 	 0.348994 	 other metabolic processes 
Contig_8841 	 1.24994 	 signal transduction  
Contig_8843 	 1.15403 	 DNA metabolism  
Contig_8843 	 1.15403 	 stress response  
Contig_8845 	 0.34182 	 cell cycle and proliferation
Contig_8845 	 0.34182 	 cell organization and biogenesis
Contig_8845 	 0.34182 	 other biological processes 
Contig_8845 	 0.34182 	 other metabolic processes 
Contig_8845 	 0.34182 	 protein metabolism  
Contig_8849 	 0.536334 	 other biological processes 
Contig_8857 	 0.372754 	 RNA metabolism  
Contig_8857 	 0.372754 	 cell organization and biogenesis
Contig_8857 	 0.372754 	 other metabolic processes 
Contig_8857 	 0.372754 	 protein metabolism  
Contig_8858 	 0.384293 	 DNA metabolism  
Contig_8858 	 0.384293 	 other metabolic processes 
Contig_8858 	 0.384293 	 stress response  
Contig_8859 	 0.716221 	 other metabolic processes 
Contig_886 	 0.792561 	 other biological processes 
Contig_8861 	 0.520893 	 other metabolic processes 
Contig_8862 	 0.73416 	 RNA metabolism  
Contig_8862 	 0.73416 	 cell cycle and proliferation
Contig_8862 	 0.73416 	 developmental processes  
Contig_8863 	 0.279664 	 other metabolic processes 
Contig_8869 	 0.536376 	 RNA metabolism  
Contig_887 	 0.609875 	 other biological processes 
Contig_887 	 0.609875 	 other metabolic processes 
Contig_887 	 0.609875 	 transport   
Contig_8870 	 0.410797 	 RNA metabolism  
Contig_8870 	 0.410797 	 other biological processes 
Contig_8871 	 0.413011 	 cell organization and biogenesis
Contig_8871 	 0.413011 	 other biological processes 
Contig_8871 	 0.413011 	 transport   
Contig_8872 	 0.892275 	 cell cycle and proliferation
Contig_8872 	 0.892275 	 cell organization and biogenesis
Contig_8872 	 0.892275 	 other biological processes 
Contig_8872 	 0.892275 	 other metabolic processes 
Contig_8874 	 0.592533 	 transport   
Contig_8876 	 0.664651 	 RNA metabolism  
Contig_8876 	 0.664651 	 other biological processes 
Contig_8877 	 0.499567 	 protein metabolism  
Contig_8882 	 1.24714 	 other biological processes 
Contig_8882 	 1.24714 	 other metabolic processes 
Contig_8884 	 0.395974 	 other metabolic processes 
Contig_8884 	 0.395974 	 protein metabolism  
Contig_8888 	 0.230615 	 other biological processes 
Contig_8890 	 0.589998 	 DNA metabolism  
Contig_8891 	 0.587107 	 cell cycle and proliferation
Contig_8891 	 0.587107 	 cell organization and biogenesis
Contig_8891 	 0.587107 	 developmental processes  
Contig_8891 	 0.587107 	 other biological processes 
Contig_8891 	 0.587107 	 other metabolic processes 
Contig_8891 	 0.587107 	 protein metabolism  
Contig_8892 	 0.703705 	 cell adhesion  
Contig_8892 	 0.703705 	 cell cycle and proliferation
Contig_8892 	 0.703705 	 developmental processes  
Contig_8892 	 0.703705 	 other biological processes 
Contig_8894 	 0.593553 	 DNA metabolism  
Contig_8894 	 0.593553 	 RNA metabolism  
Contig_8894 	 0.593553 	 stress response  
Contig_8896 	 0.62085 	 RNA metabolism  
Contig_8898 	 0.395677 	 RNA metabolism  
Contig_8899 	 0.825313 	 other biological processes 
Contig_89 	 0.965632 	 other biological processes 
Contig_89 	 0.965632 	 other metabolic processes 
Contig_8901 	 0.673122 	 DNA metabolism  
Contig_8901 	 0.673122 	 RNA metabolism  
Contig_8901 	 0.673122 	 cell cycle and proliferation
Contig_8901 	 0.673122 	 cell organization and biogenesis
Contig_8901 	 0.673122 	 death   
Contig_8901 	 0.673122 	 developmental processes  
Contig_8901 	 0.673122 	 other biological processes 
Contig_8901 	 0.673122 	 other metabolic processes 
Contig_8901 	 0.673122 	 protein metabolism  
Contig_8901 	 0.673122 	 stress response  
Contig_8903 	 0.220144 	 cell cycle and proliferation
Contig_8903 	 0.220144 	 cell organization and biogenesis
Contig_8903 	 0.220144 	 other biological processes 
Contig_8906 	 0.993877 	 cell organization and biogenesis
Contig_8906 	 0.993877 	 developmental processes  
Contig_8906 	 0.993877 	 signal transduction  
Contig_8907 	 0.519716 	 cell organization and biogenesis
Contig_8907 	 0.519716 	 transport   
Contig_8908 	 0.983728 	 cell cycle and proliferation
Contig_8908 	 0.983728 	 cell-cell signaling  
Contig_8908 	 0.983728 	 developmental processes  
Contig_8908 	 0.983728 	 signal transduction  
Contig_891 	 0.867465 	 protein metabolism  
Contig_8911 	 0.356946 	 cell organization and biogenesis
Contig_8911 	 0.356946 	 developmental processes  
Contig_8911 	 0.356946 	 other biological processes 
Contig_8911 	 0.356946 	 other metabolic processes 
Contig_8911 	 0.356946 	 transport   
Contig_8913 	 0.597563 	 protein metabolism  
Contig_8913 	 0.597563 	 transport   
Contig_8917 	 0.447462 	 transport   
Contig_8918 	 0.275328 	 other metabolic processes 
Contig_8919 	 0.470139 	 cell organization and biogenesis
Contig_8919 	 0.470139 	 developmental processes  
Contig_8919 	 0.470139 	 other biological processes 
Contig_8919 	 0.470139 	 other metabolic processes 
Contig_8919 	 0.470139 	 protein metabolism  
Contig_8919 	 0.470139 	 signal transduction  
Contig_8921 	 0.309331 	 DNA metabolism  
Contig_8921 	 0.309331 	 cell cycle and proliferation
Contig_8922 	 0.750379 	 cell adhesion  
Contig_8924 	 0.581968 	 other biological processes 
Contig_8931 	 0.580988 	 other metabolic processes 
Contig_8931 	 0.580988 	 signal transduction  
Contig_8931 	 0.580988 	 transport   
Contig_8932 	 1.1396 	 cell organization and biogenesis
Contig_8932 	 1.1396 	 developmental processes  
Contig_8932 	 1.1396 	 other biological processes 
Contig_8932 	 1.1396 	 protein metabolism  
Contig_8933 	 0.745535 	 other metabolic processes 
Contig_8934 	 0.677148 	 other biological processes 
Contig_8934 	 0.677148 	 stress response  
Contig_8934 	 0.677148 	 transport   
Contig_8936 	 0.329412 	 RNA metabolism  
Contig_8937 	 0.60293 	 protein metabolism  
Contig_8939 	 0.673532 	 other biological processes 
Contig_8949 	 0.749992 	 other metabolic processes 
Contig_8949 	 0.749992 	 stress response  
Contig_8949 	 0.749992 	 transport   
Contig_8950 	 0.341329 	 DNA metabolism  
Contig_8950 	 0.341329 	 cell cycle and proliferation
Contig_8950 	 0.341329 	 other biological processes 
Contig_8950 	 0.341329 	 stress response  
Contig_8951 	 0.763662 	 developmental processes  
Contig_8951 	 0.763662 	 other metabolic processes 
Contig_8956 	 0.935266 	 cell cycle and proliferation
Contig_8956 	 0.935266 	 protein metabolism  
Contig_8956 	 0.935266 	 signal transduction  
Contig_8956 	 0.935266 	 stress response  
Contig_8958 	 0.415206 	 other biological processes 
Contig_8958 	 0.415206 	 other metabolic processes 
Contig_8958 	 0.415206 	 protein metabolism  
Contig_896 	 0.22652 	 other metabolic processes 
Contig_8962 	 0.772553 	 signal transduction  
Contig_8963 	 0.313146 	 other biological processes 
Contig_8965 	 0.796305 	 other biological processes 
Contig_8965 	 0.796305 	 protein metabolism  
Contig_8965 	 0.796305 	 transport   
Contig_8966 	 0.481259 	 other biological processes 
Contig_8966 	 0.481259 	 signal transduction  
Contig_8967 	 0.78564 	 cell cycle and proliferation
Contig_8968 	 0.179605 	 protein metabolism  
Contig_8969 	 0.640532 	 other biological processes 
Contig_8970 	 1.03034 	 RNA metabolism  
Contig_8970 	 1.03034 	 death   
Contig_8970 	 1.03034 	 developmental processes  
Contig_8970 	 1.03034 	 other biological processes 
Contig_8970 	 1.03034 	 other metabolic processes 
Contig_8970 	 1.03034 	 protein metabolism  
Contig_8970 	 1.03034 	 signal transduction  
Contig_8970 	 1.03034 	 stress response  
Contig_8974 	 0.700476 	 cell adhesion  
Contig_8974 	 0.700476 	 cell organization and biogenesis
Contig_8974 	 0.700476 	 cell-cell signaling  
Contig_8974 	 0.700476 	 other biological processes 
Contig_8976 	 0.279892 	 cell cycle and proliferation
Contig_8976 	 0.279892 	 cell organization and biogenesis
Contig_8976 	 0.279892 	 other biological processes 
Contig_8976 	 0.279892 	 protein metabolism  
Contig_8976 	 0.279892 	 signal transduction  
Contig_8977 	 0.518909 	 protein metabolism  
Contig_8977 	 0.518909 	 transport   
Contig_8978 	 0.686725 	 cell organization and biogenesis
Contig_8978 	 0.686725 	 other metabolic processes 
Contig_8978 	 0.686725 	 signal transduction  
Contig_8978 	 0.686725 	 stress response  
Contig_8978 	 0.686725 	 transport   
Contig_8979 	 0.487726 	 RNA metabolism  
Contig_8980 	 0.87507 	 other metabolic processes 
Contig_8980 	 0.87507 	 transport   
Contig_8981 	 0.772148 	 developmental processes  
Contig_8982 	 0.799994 	 protein metabolism  
Contig_8983 	 0.269448 	 other metabolic processes 
Contig_8984 	 0.841938 	 other metabolic processes 
Contig_8984 	 0.841938 	 transport   
Contig_8987 	 0.591308 	 other biological processes 
Contig_8988 	 0.570552 	 RNA metabolism  
Contig_8989 	 0.286095 	 transport   
Contig_8990 	 0.696465 	 developmental processes  
Contig_8990 	 0.696465 	 other biological processes 
Contig_8995 	 0.708789 	 cell organization and biogenesis
Contig_8996 	 0.696489 	 cell cycle and proliferation
Contig_8996 	 0.696489 	 other biological processes 
Contig_8997 	 0.957277 	 transport   
Contig_8998 	 0.3937 	 RNA metabolism  
Contig_8999 	 0.766877 	 protein metabolism  
Contig_9 	 0.513528 	 death   
Contig_9 	 0.513528 	 developmental processes  
Contig_9 	 0.513528 	 other metabolic processes 
Contig_9 	 0.513528 	 protein metabolism  
Contig_90 	 0.687829 	 cell organization and biogenesis
Contig_90 	 0.687829 	 death   
Contig_90 	 0.687829 	 other metabolic processes 
Contig_90 	 0.687829 	 protein metabolism  
Contig_9006 	 0.653239 	 RNA metabolism  
Contig_901 	 0.840012 	 RNA metabolism  
Contig_901 	 0.840012 	 cell adhesion  
Contig_901 	 0.840012 	 developmental processes  
Contig_901 	 0.840012 	 other biological processes 
Contig_901 	 0.840012 	 other metabolic processes 
Contig_901 	 0.840012 	 signal transduction  
Contig_901 	 0.840012 	 transport   
Contig_9010 	 0.42888 	 transport   
Contig_9011 	 0.383922 	 protein metabolism  
Contig_9012 	 0.159773 	 protein metabolism  
Contig_9017 	 0.363896 	 other biological processes 
Contig_9018 	 0.803797 	 transport   
Contig_9019 	 0.969123 	 other biological processes 
Contig_9021 	 0.379372 	 other biological processes 
Contig_9023 	 0.561635 	 other biological processes 
Contig_9023 	 0.561635 	 other metabolic processes 
Contig_9026 	 0.308301 	 cell adhesion  
Contig_9026 	 0.308301 	 other biological processes 
Contig_9028 	 0.260404 	 other metabolic processes 
Contig_903 	 0.450222 	 protein metabolism  
Contig_9032 	 0.649942 	 RNA metabolism  
Contig_9032 	 0.649942 	 other metabolic processes 
Contig_9032 	 0.649942 	 protein metabolism  
Contig_9036 	 0.40026 	 other biological processes 
Contig_9036 	 0.40026 	 other metabolic processes 
Contig_9037 	 0.42835 	 other metabolic processes 
Contig_9040 	 0.67275 	 other biological processes 
Contig_9042 	 0.925053 	 RNA metabolism  
Contig_9043 	 0.372859 	 RNA metabolism  
Contig_9043 	 0.372859 	 other biological processes 
Contig_9043 	 0.372859 	 other metabolic processes 
Contig_9045 	 0.610536 	 DNA metabolism  
Contig_9045 	 0.610536 	 other biological processes 
Contig_9045 	 0.610536 	 protein metabolism  
Contig_9045 	 0.610536 	 stress response  
Contig_9045 	 0.610536 	 transport   
Contig_9047 	 0.744398 	 death   
Contig_9047 	 0.744398 	 protein metabolism  
Contig_905 	 0.76352 	 other metabolic processes 
Contig_9052 	 1.12028 	 cell cycle and proliferation
Contig_9052 	 1.12028 	 death   
Contig_9052 	 1.12028 	 other biological processes 
Contig_9053 	 0.492265 	 RNA metabolism  
Contig_9053 	 0.492265 	 cell cycle and proliferation
Contig_9053 	 0.492265 	 developmental processes  
Contig_9053 	 0.492265 	 other biological processes 
Contig_9053 	 0.492265 	 other metabolic processes 
Contig_9055 	 0.655834 	 cell-cell signaling  
Contig_9055 	 0.655834 	 transport   
Contig_9056 	 0.678391 	 RNA metabolism  
Contig_9056 	 0.678391 	 other biological processes 
Contig_9056 	 0.678391 	 protein metabolism  
Contig_906 	 0.415555 	 other biological processes 
Contig_9060 	 0.751935 	 protein metabolism  
Contig_9061 	 0.605953 	 cell organization and biogenesis
Contig_9061 	 0.605953 	 developmental processes  
Contig_9061 	 0.605953 	 other biological processes 
Contig_9061 	 0.605953 	 signal transduction  
Contig_9061 	 0.605953 	 stress response  
Contig_9063 	 0.706013 	 cell organization and biogenesis
Contig_9063 	 0.706013 	 transport   
Contig_9064 	 0.387861 	 protein metabolism  
Contig_9064 	 0.387861 	 signal transduction  
Contig_9065 	 0.791378 	 RNA metabolism  
Contig_9065 	 0.791378 	 cell adhesion  
Contig_9065 	 0.791378 	 cell cycle and proliferation
Contig_9065 	 0.791378 	 cell organization and biogenesis
Contig_9065 	 0.791378 	 cell-cell signaling  
Contig_9065 	 0.791378 	 death   
Contig_9065 	 0.791378 	 developmental processes  
Contig_9065 	 0.791378 	 other biological processes 
Contig_9065 	 0.791378 	 other metabolic processes 
Contig_9065 	 0.791378 	 protein metabolism  
Contig_9065 	 0.791378 	 signal transduction  
Contig_9065 	 0.791378 	 stress response  
Contig_9066 	 0.504029 	 other metabolic processes 
